a|A0
boẽo|B W E2 UZ
boéo|B W E4 UZ
boẹo|B W E5 UZ
boet|B W E4 TC
boét|B W E4 TC
boẹt|B W E5 TC
boi|B O0 IZ
bòi|B O1 IZ
bỏi|B O3 IZ
bõi|B O2 IZ
bói|B O4 IZ
bọi|B O5 IZ
bom|B O0 MZ
bòm|B O1 MZ
bỏm|B O3 MZ
bõm|B O2 MZ
bóm|B O4 MZ
bọm|B O5 MZ
bon|B O0 NZ
bòn|B O1 NZ
bỏn|B O3 NZ
bõn|B O2 NZ
bón|B O4 NZ
bọn|B O5 NZ
bong|B OA0 NGZ
bòng|B OA1 NGZ
bỏng|B OA3 NGZ
bõng|B OA2 NGZ
bóng|B OA4 NGZ
bọng|B OA5 NGZ
booc|B O4 OA4 KC
boóc|B O4 OA4 KC
boọc|B O5 OA5 KC
boong|B O0 NGZ
boòng|B O1 NGZ
boỏng|B O3 NGZ
boõng|B O2 NGZ
boóng|B O4 NGZ
boọng|B O5 NGZ
bop|B O4 PC
bóp|B O4 PC
bọp|B O5 PC
bót|B O4 TC
bọt|B O5 TC
bô|B OO0
bồ|B OO1
bổ|B OO3
bỗ|B OO2
bố|B OO4
bộ|B OO5
bốc|B OO4 KC
bộc|B OO5 KC
bôi|B OO0 IZ
bồi|B OO1 IZ
bổi|B OO3 IZ
bỗi|B OO2 IZ
bối|B OO4 IZ
bội|B OO5 IZ
bôm|B OO0 MZ
bồm|B OO1 MZ
bổm|B OO3 MZ
bỗm|B OO2 MZ
bốm|B OO4 MZ
bộm|B OO5 MZ
bôn|B OO0 NZ
bồn|B OO1 NZ
bổn|B OO3 NZ
bỗn|B OO2 NZ
bốn|B OO4 NZ
bộn|B OO5 NZ
bông|B OO0 NGZ
bồng|B OO1 NGZ
bổng|B OO3 NGZ
bỗng|B OO2 NGZ
bống|B OO4 NGZ
bộng|B OO5 NGZ
bốp|B OO4 PC
bộp|B OO5 PC
bốt|B OO4 TC
bột|B OO5 TC
bơ|B OW0
bờ|B OW1
bở|B OW3
bỡ|B OW2
bớ|B OW4
bợ|B OW5
bơi|B OW0 IZ
bời|B OW1 IZ
bởi|B OW3 IZ
bỡi|B OW2 IZ
bới|B OW4 IZ
bợi|B OW5 IZ
bơm|B OW0 MZ
bờm|B OW1 MZ
bởm|B OW3 MZ
bỡm|B OW2 MZ
bớm|B OW4 MZ
bợm|B OW5 MZ
bơn|B OW0 NZ
bờn|B OW1 NZ
bởn|B OW3 NZ
bỡn|B OW2 NZ
bớn|B OW4 NZ
bợn|B OW5 NZ
bơp|B OW4 PC
bớp|B OW4 PC
bợp|B OW5 PC
bơt|B OW4 TC
bớt|B OW4 TC
bợt|B OW5 TC
bu|B U0
bù|B U1
bủ|B U3
bũ|B U2
bú|B U4
bụ|B U5
bua|B UO0
bùa|B UO1
bủa|B UO3
bũa|B UO2
búa|B UO4
bụa|B UO5
buân|B W AA0 NZ
buần|B W AA1 NZ
buẩn|B W AA3 NZ
buẫn|B W AA2 NZ
buấn|B W AA4 NZ
buận|B W AA5 NZ
buâng|B W AA0 NGZ
buầng|B W AA1 NGZ
buẩng|B W AA3 NGZ
buẫng|B W AA2 NGZ
buấng|B W AA4 NGZ
buậng|B W AA5 NGZ
buât|B W AA4 TC
buất|B W AA4 TC
buật|B W AA5 TC
buây|B W AA0 IZ
buầy|B W AA1 IZ
buẩy|B W AA3 IZ
buẫy|B W AA2 IZ
buấy|B W AA4 IZ
buậy|B W AA5 IZ
buc|B U4 KC
búc|B U4 KC
bục|B U5 KC
bue|B W E0
buê|B W EE0
buề|B W EE1
buể|B W EE3
buễ|B W EE2
buế|B W EE4
buệ|B W EE5
buêch|B W EE4 KC
buếch|B W EE4 KC
buệch|B W EE5 KC
buênh|L W EE0 NGZ
buềnh|L W EE1 NGZ
buểnh|L W EE3 NGZ
buễnh|L W EE2 NGZ
buếnh|L W EE4 NGZ
buệnh|L W EE5 NGZ
bui|B U0 IZ
bùi|B U1 IZ
bủi|B U3 IZ
bũi|B U2 IZ
búi|B U4 IZ
bụi|B U5 IZ
bum|B U0 MZ
bùm|B U1 MZ
bủm|B U3 MZ
bũm|B U2 MZ
búm|B U4 MZ
bụm|B U5 MZ
bun|B U0 NZ
bùn|B U1 NZ
bủn|B U3 NZ
bũn|B U2 NZ
bún|B U4 NZ
bụn|B U5 NZ
bung|B U0 NGZ
bùng|B U1 NGZ
bủng|B U3 NGZ
bũng|B U2 NGZ
búng|B U4 NGZ
bụng|B U5 NGZ
buốc|B UO4 KC
buộc|B UO5 KC
buôi|B UO0 IZ
buồi|B UO1 IZ
buổi|B UO3 IZ
buỗi|B UO2 IZ
buối|B UO4 IZ
buội|B UO5 IZ
buôm|B UO0 MZ
buồm|B UO1 MZ
buổm|B UO3 MZ
buỗm|B UO2 MZ
buốm|B UO4 MZ
buộm|B UO5 MZ
buôn|B UO0 NZ
buồn|B UO1 NZ
buổn|B UO3 NZ
buỗn|B UO2 NZ
buốn|B UO4 NZ
buộn|B UO5 NZ
buông|B UO0 NGZ
buồng|B UO1 NGZ
buổng|B UO3 NGZ
buỗng|B UO2 NGZ
buống|B UO4 NGZ
buộng|B UO5 NGZ
buốt|B UO4 TC
buột|B UO5 TC
buơ|B W OW0
buờ|B W OW1
buở|B W OW3
buỡ|B W OW2
buớ|B W OW4
buợ|B W OW5
bup|B U4 PC
búp|B U4 PC
bụp|B U5 PC
but|B U4 TC
bút|B U4 TC
bụt|B U5 TC
buy|B W IZ
bùy|B W IZ
bủy|B W IZ
bũy|B W IZ
búy|B W IZ
bụy|B W IZ
buya|B W IE0
buỳa|B W IE1
buỷa|B W IE3
buỹa|B W IE2
buýa|B W IE4
buỵa|B W IE5
buych|B W I4 KC
buých|B W I4 KC
buỵch|B W I5 KC
buyên|B W IE0 NZ
buyền|B W IE1 NZ
buyển|B W IE3 NZ
buyễn|B W IE2 NZ
buyến|B W IE4 NZ
buyện|B W IE5 NZ
buyết|B W IE4 TC
buyệt|B W IE5 TC
buyn|B W I0 NZ
buỳn|B W I1 NZ
buỷn|B W I3 NZ
buỹn|B W I2 NZ
buýn|B W I4 NZ
buỵn|B W I5 NZ
buynh|B W I0 NGZ
buỳnh|B W I1 NGZ
buỷnh|B W I3 NGZ
buỹnh|B W I2 NGZ
buýnh|B W I4 NGZ
buỵnh|B W I5 NGZ
buyp|B W I4 PC
buýp|B W I4 PC
buỵp|B W I5 PC
buyt|B W I4 TC
buýt|B W I4 TC
buỵt|B W I5 TC
búyt|B W I4 TC
buyu|B W I0 UZ
buỳu|B W I1 UZ
buỷu|B W I3 UZ
buỹu|B W I2 UZ
buýu|B W I4 UZ
buỵu|B W I5 UZ
bư|B UW0
bừ|B UW1
bử|B UW3
bữ|B UW2
bứ|B UW4
bự|B UW5
bưa|B WA0
bừa|B WA1
bửa|B WA3
bữa|B WA2
bứa|B WA4
bựa|B WA5
bức|B UW4 KC
bực|B UW5 KC
bưi|B UW0 IZ
bừi|B UW1 IZ
bửi|B UW3 IZ
bữi|B UW2 IZ
bứi|B UW4 IZ
bựi|B UW5 IZ
bưn|B UW0 NZ
bừn|B UW1 NZ
bửn|B UW3 NZ
bữn|B UW2 NZ
bứn|B UW4 NZ
bựn|B UW5 NZ
bưng|B UW0 NGZ
bừng|B UW1 NGZ
bửng|B UW3 NGZ
bững|B UW2 NGZ
bứng|B UW4 NGZ
bựng|B UW5 NGZ
bươc|B WA4 KC
bước|B WA4 KC
bược|B WA5 KC
bươi|B WA0 IZ
bười|B WA1 IZ
bưởi|B WA3 IZ
bưỡi|B WA2 IZ
bưới|B WA4 IZ
bượi|B WA5 IZ
bươm|B WA0 MZ
bườm|B WA1 MZ
bưởm|B WA3 MZ
bưỡm|B WA2 MZ
bướm|B WA4 MZ
bượm|B WA5 MZ
bươn|B WA0 NZ
bườn|B WA1 NZ
bưởn|B WA3 NZ
bưỡn|B WA2 NZ
bướn|B WA4 NZ
bượn|B WA5 NZ
bương|B WA0 NGZ
bường|B WA1 NGZ
bưởng|B WA3 NGZ
bưỡng|B WA2 NGZ
bướng|B WA4 NGZ
bượng|B WA5 NGZ
bươp|K WA4 PC
bướp|K WA4 PC
bượp|K WA5 PC
bươt|M WA4 TC
bướt|M WA4 TC
bượt|M WA5 TC
bươu|B WA0 UZ
bườu|B WA1 UZ
bưởu|B WA3 UZ
bưỡu|B WA2 UZ
bướu|B WA4 UZ
bượu|B WA5 UZ
bưt|B UW4 TC
bứt|B UW4 TC
bựt|B UW5 TC
bưu|B UW0 UZ
bừu|B UW1 UZ
bửu|B UW3 UZ
bữu|B UW2 UZ
bứu|B UW4 UZ
bựu|B UW5 UZ
by|B I0
bỳ|B I1
bỷ|B I3
bỹ|B I2
bý|B I4
bỵ|B I5
ca|K A0
cà|K A1
cả|K A3
cã|K A2
cá|K A4
cạ|K A5
các|K A4 KC
cạc|K A5 KC
cách|K EA4 KC
cạch|K EA5 KC
cai|K A0 IZ
cài|K A1 IZ
cải|K A3 IZ
cãi|K A2 IZ
cái|K A4 IZ
cại|K A5 IZ
cam|K A0 MZ
càm|K A1 MZ
cảm|K A3 MZ
cãm|K A2 MZ
cám|K A4 MZ
cạm|K A5 MZ
can|K A0 NZ
càn|K A1 NZ
cản|K A3 NZ
cãn|K A2 NZ
cán|K A4 NZ
cạn|K A5 NZ
cang|K A0 NGZ
càng|K A1 NGZ
cảng|K A3 NGZ
cãng|K A2 NGZ
cáng|K A4 NGZ
cạng|K A5 NGZ
canh|K EA0 NGZ
cành|K EA1 NGZ
cảnh|K EA3 NGZ
cãnh|K EA2 NGZ
cánh|K EA4 NGZ
cạnh|K EA5 NGZ
cao|K A0 UZ
cào|K A1 UZ
cảo|K A3 UZ
cão|K A2 UZ
cáo|K A4 UZ
cạo|K A5 UZ
cáp|K A4 PC
cạp|K A5 PC
cat|K A4 TC
cát|K A4 TC
cạt|K A5 TC
cau|K AW0 UZ
càu|K AW1 UZ
cảu|K AW3 UZ
cãu|K AW2 UZ
cáu|K AW4 UZ
cạu|K AW5 UZ
cay|K AW0 IZ
cày|K AW1 IZ
cảy|K AW3 IZ
cãy|K AW2 IZ
cáy|K AW4 IZ
cạy|K AW5 IZ
căc|K AW4 KC
cắc|K AW4 KC
cặc|K AW5 KC
căm|K AW0 MZ
cằm|K AW1 MZ
cẳm|K AW3 MZ
cẵm|K AW2 MZ
cắm|K AW4 MZ
cặm|K AW5 MZ
căn|K AW0 NZ
cằn|K AW1 NZ
cẳn|K AW3 NZ
cẵn|K AW2 NZ
cắn|K AW4 NZ
cặn|K AW5 NZ
căng|K AW0 NGZ
cằng|K AW1 NGZ
cẳng|K AW3 NGZ
cẵng|K AW2 NGZ
cắng|K AW4 NGZ
cặng|K AW5 NGZ
cắp|K AW4 PC
cặp|K AW5 PC
căt|K AW4 TC
cắt|K AW4 TC
cặt|K AW5 TC
cấc|K AA4 KC
cậc|K AA5 KC
câm|K AA0 MZ
cầm|K AA1 MZ
cẩm|K AA3 MZ
cẫm|K AA2 MZ
cấm|K AA4 MZ
cậm|K AA5 MZ
cân|K AA0 NZ
cần|K AA1 NZ
cẩn|K AA3 NZ
cẫn|K AA2 NZ
cấn|K AA4 NZ
cận|K AA5 NZ
câng|K AA0 NGZ
cầng|K AA1 NGZ
cẩng|K AA3 NGZ
cẫng|K AA2 NGZ
cấng|K AA4 NGZ
cậng|K AA5 NGZ
cấp|K AA4 PC
cập|K AA5 PC
cất|K AA4 TC
cật|K AA5 TC
câu|K AA0 UZ
cầu|K AA1 UZ
cẩu|K AA3 UZ
cẫu|K AA2 UZ
cấu|K AA4 UZ
cậu|K AA5 UZ
cây|K AA0 IZ
cầy|K AA1 IZ
cẩy|K AA3 IZ
cẫy|K AA2 IZ
cấy|K AA4 IZ
cậy|K AA5 IZ
cét|K E4 TC
cê|K EE0
cếp|K EE4 PC
cết|K EE4 TC
cha|TR A0
chà|TR A1
chả|TR A3
chã|TR A2
chá|TR A4
chạ|TR A5
chác|TR A4 KC
chạc|TR A5 KC
chách|TR EA4 KC
chạch|TR EA5 KC
chai|TR A0 IZ
chài|TR A1 IZ
chải|TR A3 IZ
chãi|TR A2 IZ
chái|TR A4 IZ
chại|TR A5 IZ
cham|TR A0 MZ
chàm|TR A1 MZ
chảm|TR A3 MZ
chãm|TR A2 MZ
chám|TR A4 MZ
chạm|TR A5 MZ
chan|TR A0 NZ
chàn|TR A1 NZ
chản|TR A3 NZ
chãn|TR A2 NZ
chán|TR A4 NZ
chạn|TR A5 NZ
chang|TR A0 NGZ
chàng|TR A1 NGZ
chảng|TR A3 NGZ
chãng|TR A2 NGZ
cháng|TR A4 NGZ
chạng|TR A5 NGZ
chanh|TR EA0 NGZ
chành|TR EA1 NGZ
chảnh|TR EA3 NGZ
chãnh|TR EA2 NGZ
chánh|TR EA4 NGZ
chạnh|TR EA5 NGZ
chao|TR A0 UZ
chào|TR A1 UZ
chảo|TR A3 UZ
chão|TR A2 UZ
cháo|TR A4 UZ
chạo|TR A5 UZ
cháp|TR A4 PC
chạp|TR A5 PC
chat|TR A4 TC
chát|TR A4 TC
chạt|TR A5 TC
chau|TR AW0 UZ
chàu|TR AW1 UZ
chảu|TR AW3 UZ
chãu|TR AW2 UZ
cháu|TR AW4 UZ
chạu|TR AW5 UZ
chay|TR AW0 IZ
chày|TR AW1 IZ
chảy|TR AW3 IZ
chãy|TR AW2 IZ
cháy|TR AW4 IZ
chạy|TR AW5 IZ
chắc|TR AW4 KC
chặc|TR AW5 KC
chăm|TR AW0 MZ
chằm|TR AW1 MZ
chẳm|TR AW3 MZ
chẵm|TR AW2 MZ
chắm|TR AW4 MZ
chặm|TR AW5 MZ
chăn|TR AW0 NZ
chằn|TR AW1 NZ
chẳn|TR AW3 NZ
chẵn|TR AW2 NZ
chắn|TR AW4 NZ
chặn|TR AW5 NZ
chăng|TR AW0 NGZ
chằng|TR AW1 NGZ
chẳng|TR AW3 NGZ
chẵng|TR AW2 NGZ
chắng|TR AW4 NGZ
chặng|TR AW5 NGZ
chắp|TR AW4 PC
chặp|TR AW5 PC
chắt|TR AW4 TC
chặt|TR AW5 TC
châc|TR AA4 KC
chấc|TR AA4 KC
chậc|TR AA5 KC
châm|TR AA0 MZ
chầm|TR AA1 MZ
chẩm|TR AA3 MZ
chẫm|TR AA2 MZ
chấm|TR AA4 MZ
chậm|TR AA5 MZ
chân|TR AA0 NZ
chần|TR AA1 NZ
chẩn|TR AA3 NZ
chẫn|TR AA2 NZ
chấn|TR AA4 NZ
chận|TR AA5 NZ
châng|TR AA0 NGZ
chầng|TR AA1 NGZ
chẩng|TR AA3 NGZ
chẫng|TR AA2 NGZ
chấng|TR AA4 NGZ
chậng|TR AA5 NGZ
châp|TR AA4 PC
chấp|TR AA4 PC
chập|TR AA5 PC
chất|TR AA4 TC
chật|TR AA5 TC
châu|TR AA0 UZ
chầu|TR AA1 UZ
chẩu|TR AA3 UZ
chẫu|TR AA2 UZ
chấu|TR AA4 UZ
chậu|TR AA5 UZ
chây|TR AA0 IZ
chầy|TR AA1 IZ
chẩy|TR AA3 IZ
chẫy|TR AA2 IZ
chấy|TR AA4 IZ
chậy|TR AA5 IZ
che|TR E0
chè|TR E1
chẻ|TR E3
chẽ|TR E2
ché|TR E4
chẹ|TR E5
chec|TR E4 KC
chéc|TR E4 KC
chẹc|TR E5 KC
chem|TR E0 MZ
chèm|TR E1 MZ
chẻm|TR E3 MZ
chẽm|TR E2 MZ
chém|TR E4 MZ
chẹm|TR E5 MZ
chen|TR E0 NZ
chèn|TR E1 NZ
chẻn|TR E3 NZ
chẽn|TR E2 NZ
chén|TR E4 NZ
chẹn|TR E5 NZ
